"","timestamp","Region1_total","Region2_total","Region3_total","Region1_visible","Region1_hidden","Region2_visible","Region2_hidden","Region3_visible","Region3_hidden","Study_night","Kinkajou_Notes","Video_Notes"
"172",2019-12-16 21:23:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"173",2019-12-16 21:24:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"174",2019-12-16 21:25:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"175",2019-12-16 21:26:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"176",2019-12-16 21:27:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"177",2019-12-16 21:28:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"178",2019-12-16 21:29:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"179",2019-12-16 21:30:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"180",2019-12-16 21:31:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"181",2019-12-16 21:32:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"182",2019-12-16 21:33:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"183",2019-12-16 21:34:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"184",2019-12-16 21:35:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"185",2019-12-16 21:36:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"186",2019-12-16 21:37:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"187",2019-12-16 21:38:39,0,1,0,0,0,1,0,0,0,2,NA,NA
"188",2019-12-16 21:39:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"189",2019-12-16 21:40:39,1,0,0,1,0,0,0,0,0,2,NA,NA
"190",2019-12-16 21:41:39,1,0,0,0,1,0,0,0,0,2,NA,NA
"191",2019-12-16 21:42:39,1,0,0,0,1,0,0,0,0,2,NA,NA
"192",2019-12-16 21:43:39,1,0,0,1,0,0,0,0,0,2,"leaves tree over r2",NA
"193",2019-12-16 21:44:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"194",2019-12-16 21:45:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"195",2019-12-16 21:46:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"196",2019-12-16 21:47:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"197",2019-12-16 21:48:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"198",2019-12-16 21:49:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"199",2019-12-16 21:50:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"200",2019-12-16 21:51:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"201",2019-12-16 21:52:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"202",2019-12-16 21:53:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"203",2019-12-16 21:54:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"204",2019-12-16 21:55:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"205",2019-12-16 21:56:39,0,0,0,0,0,0,0,0,0,2,NA,NA
"206",2019-12-16 21:57:39,0,0,0,0,0,0,0,0,0,2,NA,NA
